Day,Time,Event,len(Queue)
1,6:24,Car 116 starts traveling,NA
1,6:24,Car 348 arrives at charger 76,1
1,6:24,Car 399 starts traveling,NA
1,6:25,Car 17 starts traveling,NA
1,6:25,Car 163 starts traveling,NA
1,6:25,Car 190 arrives at charger 40,1
1,6:25,Car 206 starts traveling,NA
1,6:25,Car 276 arrives at charger 51,1
1,6:26,Car 17 arrives at charger 3,1
1,6:26,Car 136 starts traveling,NA
1,6:26,Car 399 arrives at charger 62,1
1,6:27,Car 377 arrives at charger 74,1
1,6:28,Car 148 starts traveling,NA
1,6:28,Car 178 starts traveling,NA
1,6:29,Car 25 arrives at charger 7,2
1,6:29,Car 103 arrives at charger 21,1
1,6:29,Car 198 arrives at charger 38,1
1,6:30,Car 12 starts traveling,NA
1,6:30,Car 37 arrives at charger 6,1
1,6:30,Car 247 arrives at charger 60,1
1,6:31,Car 36 starts traveling,NA
1,6:31,Car 45 starts traveling,NA
1,6:31,Car 233 arrives at charger 47,1
1,6:31,Car 394 starts traveling,NA
1,6:32,Car 65 arrives at charger 15,1
1,6:32,Car 128 arrives at charger 21,2
1,6:32,Car 362 starts traveling,NA
1,6:33,Car 49 arrives at charger 10,1
1,6:33,Car 299 arrives at charger 58,1
1,6:34,Car 32 starts traveling,NA
1,6:34,Car 136 arrives at charger 38,1
1,6:34,Car 148 arrives at charger 42,1
1,6:34,Car 155 starts traveling,NA
1,6:34,Car 185 arrives at charger 33,1
1,6:34,Car 204 starts traveling,NA
1,6:34,Car 236 arrives at charger 45,1
1,6:34,Car 323 arrives at charger 73,1
1,6:35,Car 12 arrives at charger 2,1
1,6:35,Car 260 arrives at charger 54,1
1,6:35,Car 353 starts traveling,NA
1,6:35,Car 394 arrives at charger 70,1
1,6:36,Car 162 starts traveling,NA
1,6:36,Car 163 arrives at charger 29,1
1,6:37,Car 116 arrives at charger 19,1
1,6:37,Car 206 arrives at charger 44,1
1,6:38,Car 107 starts traveling,NA
1,6:38,Car 139 starts traveling,NA
1,6:38,Car 230 starts traveling,NA
1,6:38,Car 245 starts traveling,NA
1,6:38,Car 328 starts traveling,NA
1,6:38,Car 343 arrives at charger 63,1
1,6:38,Car 362 arrives at charger 62,1
1,6:39,Car 245 arrives at charger 61,1
1,6:40,Car 122 starts traveling,NA
1,6:40,Car 155 arrives at charger 34,1
1,6:40,Car 353 arrives at charger 79,1
1,6:41,Car 107 arrives at charger 20,1
1,6:41,Car 142 starts traveling,NA
1,6:41,Car 204 arrives at charger 30,1
1,6:42,Car 23 starts traveling,NA
1,6:42,Car 36 arrives at charger 8,1
1,6:42,Car 45 arrives at charger 9,1
1,6:42,Car 178 arrives at charger 38,2
1,6:42,Car 300 starts traveling,NA
1,6:42,Car 302 starts traveling,NA
1,6:42,Car 307 starts traveling,NA
1,6:43,Car 230 arrives at charger 53,1
1,6:43,Car 319 starts traveling,NA
1,6:43,Car 355 starts traveling,NA
1,6:44,Car 229 starts traveling,NA
1,6:44,Car 367 starts traveling,NA
1,6:44,Car 395 starts traveling,NA
1,6:45,Car 120 starts traveling,NA
1,6:45,Car 210 starts traveling,NA
1,6:45,Car 302 arrives at charger 47,1
1,6:46,Car 189 starts traveling,NA
1,6:47,Car 23 arrives at charger 9,1
1,6:47,Car 26 starts traveling,NA
1,6:47,Car 120 arrives at charger 27,1
1,6:47,Car 123 starts traveling,NA
1,6:47,Car 142 arrives at charger 28,1
1,6:47,Car 150 starts traveling,NA
1,6:47,Car 251 starts traveling,NA
1,6:47,Car 319 arrives at charger 73,1
1,6:47,Car 395 arrives at charger 78,1
1,6:48,Car 63 starts traveling,NA
1,6:48,Car 328 arrives at charger 75,1
1,6:48,Car 379 starts traveling,NA
1,6:49,Car 304 starts traveling,NA
1,6:50,Car 32 arrives at charger 5,1
1,6:50,Car 57 starts traveling,NA
1,6:50,Car 99 starts traveling,NA
1,6:50,Car 112 starts traveling,NA
1,6:50,Car 162 arrives at charger 40,1
1,6:50,Car 322 starts traveling,NA
1,6:51,Car 26 arrives at charger 9,2
1,6:51,Car 139 arrives at charger 31,1
1,6:51,Car 210 arrives at charger 41,1
1,6:51,Car 304 arrives at charger 53,1
1,6:51,Car 307 arrives at charger 67,1
1,6:51,Car 324 starts traveling,NA
1,6:53,Car 380 starts traveling,NA
1,6:53,Car 130 departs at charger 21,2
1,6:53,Car 130 finish traveling,NA
1,6:54,Car 225 starts traveling,NA
1,6:54,Car 235 starts traveling,NA
1,6:54,Car 265 starts traveling,NA
1,6:54,Car 363 departs at charger 74,1
1,6:55,Car 57 arrives at charger 13,1
1,6:55,Car 122 arrives at charger 20,1
1,6:55,Car 229 arrives at charger 57,1
1,6:55,Car 315 starts traveling,NA
1,6:55,Car 389 departs at charger 66,2
1,6:56,Car 99 arrives at charger 22,1
1,6:56,Car 126 starts traveling,NA
1,6:56,Car 150 arrives at charger 43,1
1,6:56,Car 189 arrives at charger 38,3
1,6:56,Car 300 arrives at charger 52,1
1,6:56,Car 355 arrives at charger 73,2
1,6:56,Car 363 finish traveling,NA
1,6:56,Car 389 finish traveling,NA
1,6:57,Car 201 starts traveling,NA
1,6:57,Car 280 starts traveling,NA
1,6:58,Car 38 starts traveling,NA
1,6:58,Car 63 arrives at charger 11,1
1,6:58,Car 100 starts traveling,NA
1,6:58,Car 251 arrives at charger 50,1
1,6:58,Car 367 arrives at charger 62,2
1,6:59,Car 312 starts traveling,NA
1,6:59,Car 379 arrives at charger 62,3
1,7:00,Car 225 arrives at charger 57,1
1,7:00,Car 298 starts traveling,NA
1,7:01,Car 112 arrives at charger 26,1
1,7:01,Car 123 arrives at charger 22,2
1,7:01,Car 194 starts traveling,NA
1,7:01,Car 256 starts traveling,NA
1,7:02,Car 183 starts traveling,NA
1,7:02,Car 298 arrives at charger 52,1
1,7:02,Car 278 departs at charger 51,1
1,7:03,Car 38 arrives at charger 8,2
1,7:03,Car 176 starts traveling,NA
1,7:03,Car 371 starts traveling,NA
1,7:03,Car 114 departs at charger 22,2
1,7:04,Car 81 starts traveling,NA
1,7:04,Car 126 arrives at charger 19,1
1,7:04,Car 167 starts traveling,NA
1,7:04,Car 256 arrives at charger 49,1
1,7:04,Car 257 starts traveling,NA
1,7:04,Car 322 arrives at charger 70,2
1,7:04,Car 84 departs at charger 12,0
1,7:05,Car 76 starts traveling,NA
1,7:05,Car 133 starts traveling,NA
1,7:06,Car 114 finish traveling,NA
1,7:06,Car 135 starts traveling,NA
1,7:06,Car 265 arrives at charger 52,2
1,7:06,Car 278 finish traveling,NA
1,7:06,Car 342 starts traveling,NA
1,7:07,Car 232 starts traveling,NA
1,7:07,Car 257 arrives at charger 52,3
1,7:07,Car 315 arrives at charger 65,1
1,7:07,Car 380 arrives at charger 73,3
1,7:08,Car 84 finish traveling,NA
1,7:08,Car 133 arrives at charger 22,2
1,7:08,Car 137 starts traveling,NA
1,7:08,Car 183 arrives at charger 28,1
1,7:08,Car 267 starts traveling,NA
1,7:08,Car 280 arrives at charger 55,1
1,7:08,Car 320 starts traveling,NA
1,7:08,Car 326 starts traveling,NA
1,7:09,Car 195 starts traveling,NA
1,7:09,Car 235 arrives at charger 60,1
1,7:09,Car 324 arrives at charger 63,1
1,7:09,Car 335 starts traveling,NA
1,7:09,Car 371 arrives at charger 64,1
1,7:10,Car 176 arrives at charger 37,1
1,7:10,Car 201 arrives at charger 43,2
1,7:10,Car 291 starts traveling,NA
1,7:10,Car 317 starts traveling,NA
1,7:10,Car 378 starts traveling,NA
1,7:11,Car 48 starts traveling,NA
1,7:11,Car 76 arrives at charger 13,1
1,7:11,Car 144 starts traveling,NA
1,7:11,Car 193 starts traveling,NA
1,7:11,Car 194 arrives at charger 36,1
1,7:12,Car 15 starts traveling,NA
1,7:12,Car 20 starts traveling,NA
1,7:12,Car 134 starts traveling,NA
1,7:12,Car 391 starts traveling,NA
1,7:13,Car 62 starts traveling,NA
1,7:13,Car 100 arrives at charger 19,2
1,7:13,Car 191 starts traveling,NA
1,7:13,Car 193 arrives at charger 38,4
1,7:14,Car 22 starts traveling,NA
1,7:14,Car 134 arrives at charger 27,1
1,7:14,Car 342 arrives at charger 66,2
1,7:15,Car 47 starts traveling,NA
1,7:15,Car 62 arrives at charger 13,2
1,7:15,Car 81 arrives at charger 12,1
1,7:15,Car 167 arrives at charger 30,1
1,7:15,Car 232 arrives at charger 58,1
1,7:15,Car 312 arrives at charger 66,3
1,7:15,Car 37 departs at charger 6,0
1,7:15,Car 247 departs at charger 60,1
1,7:16,Car 138 starts traveling,NA
1,7:16,Car 151 starts traveling,NA
1,7:16,Car 270 starts traveling,NA
1,7:16,Car 306 starts traveling,NA
1,7:16,Car 326 arrives at charger 71,1
1,7:16,Car 233 departs at charger 47,1
1,7:17,Car 15 arrives at charger 3,1
1,7:17,Car 37 finish traveling,NA
1,7:17,Car 127 starts traveling,NA
1,7:17,Car 135 arrives at charger 21,2
1,7:17,Car 172 starts traveling,NA
1,7:17,Car 267 arrives at charger 58,2
1,7:17,Car 320 arrives at charger 70,3
1,7:17,Car 350 starts traveling,NA
1,7:17,Car 65 departs at charger 15,0
1,7:18,Car 144 arrives at charger 31,1
1,7:18,Car 214 starts traveling,NA
1,7:18,Car 306 arrives at charger 75,1
1,7:18,Car 391 arrives at charger 65,1
1,7:18,Car 299 departs at charger 58,2
1,7:19,Car 159 starts traveling,NA
1,7:19,Car 195 arrives at charger 37,1
1,7:19,Car 247 finish traveling,NA
1,7:19,Car 268 starts traveling,NA
1,7:19,Car 148 departs at charger 42,0
1,7:20,Car 18 starts traveling,NA
1,7:20,Car 137 arrives at charger 31,2
1,7:20,Car 138 arrives at charger 43,3
1,7:20,Car 172 arrives at charger 43,4
1,7:20,Car 192 starts traveling,NA
1,7:20,Car 197 starts traveling,NA
1,7:20,Car 233 finish traveling,NA
1,7:20,Car 335 arrives at charger 67,1
1,7:20,Car 386 starts traveling,NA
1,7:21,Car 65 finish traveling,NA
1,7:21,Car 148 finish traveling,NA
1,7:21,Car 153 starts traveling,NA
1,7:22,Car 48 arrives at charger 10,1
1,7:22,Car 191 arrives at charger 31,3
1,7:22,Car 214 arrives at charger 38,5
1,7:22,Car 270 arrives at charger 53,2
1,7:22,Car 277 starts traveling,NA
1,7:22,Car 378 arrives at charger 70,4
1,7:23,Car 151 arrives at charger 43,5
1,7:23,Car 159 arrives at charger 36,2
1,7:23,Car 299 finish traveling,NA
1,7:23,Car 350 arrives at charger 69,1
1,7:24,Car 31 starts traveling,NA
1,7:24,Car 243 starts traveling,NA
1,7:24,Car 317 arrives at charger 75,2
1,7:24,Car 351 starts traveling,NA
1,7:25,Car 20 arrives at charger 3,2
1,7:25,Car 51 starts traveling,NA
1,7:25,Car 140 starts traveling,NA
1,7:25,Car 291 arrives at charger 55,1
1,7:25,Car 360 starts traveling,NA
1,7:25,Car 155 departs at charger 34,0
1,7:26,Car 171 starts traveling,NA
1,7:26,Car 204 departs at charger 30,1
1,7:27,Car 18 arrives at charger 4,1
1,7:27,Car 47 arrives at charger 10,2
1,7:27,Car 52 starts traveling,NA
1,7:27,Car 155 finish traveling,NA
1,7:27,Car 197 arrives at charger 41,1
1,7:27,Car 293 starts traveling,NA
1,7:28,Car 95 starts traveling,NA
1,7:28,Car 204 finish traveling,NA
1,7:29,Car 22 arrives at charger 5,1
1,7:29,Car 153 arrives at charger 30,1
1,7:29,Car 351 arrives at charger 63,2
1,7:29,Car 382 starts traveling,NA
1,7:30,Car 51 arrives at charger 16,1
1,7:30,Car 127 arrives at charger 24,1
1,7:31,Car 268 arrives at charger 58,2
1,7:32,Car 171 arrives at charger 43,6
1,7:32,Car 375 starts traveling,NA
1,7:32,Car 120 departs at charger 27,1
1,7:33,Car 31 arrives at charger 5,2
1,7:33,Car 87 starts traveling,NA
1,7:33,Car 120 finish traveling,NA
1,7:33,Car 243 arrives at charger 50,1
1,7:33,Car 327 starts traveling,NA
1,7:33,Car 386 arrives at charger 66,4
1,7:34,Car 41 starts traveling,NA
1,7:34,Car 52 arrives at charger 12,1
1,7:34,Car 192 arrives at charger 37,2
1,7:34,Car 385 starts traveling,NA
1,7:35,Car 140 arrives at charger 30,2
1,7:35,Car 294 starts traveling,NA
1,7:35,Car 382 arrives at charger 68,1
1,7:35,Car 32 departs at charger 5,2
1,7:36,Car 95 arrives at charger 19,3
1,7:36,Car 281 starts traveling,NA
1,7:36,Car 282 starts traveling,NA
1,7:36,Car 210 departs at charger 41,1
1,7:37,Car 360 arrives at charger 66,5
1,7:38,Car 181 starts traveling,NA
1,7:38,Car 210 finish traveling,NA
1,7:38,Car 277 arrives at charger 47,1
1,7:38,Car 292 starts traveling,NA
1,7:38,Car 293 arrives at charger 61,1
1,7:38,Car 294 arrives at charger 48,1
1,7:38,Car 103 departs at charger 21,2
1,7:39,Car 327 arrives at charger 65,2
1,7:39,Car 374 starts traveling,NA
1,7:39,Car 377 departs at charger 74,0
1,7:40,Car 78 starts traveling,NA
1,7:40,Car 177 starts traveling,NA
1,7:40,Car 349 starts traveling,NA
1,7:40,Car 384 starts traveling,NA
1,7:40,Car 357 departs at charger 66,5
1,7:41,Car 32 finish traveling,NA
1,7:41,Car 103 finish traveling,NA
1,7:41,Car 157 starts traveling,NA
1,7:41,Car 179 starts traveling,NA
1,7:41,Car 281 arrives at charger 58,3
1,7:41,Car 347 starts traveling,NA
1,7:41,Car 300 departs at charger 52,3
1,7:42,Car 110 starts traveling,NA
1,7:42,Car 375 arrives at charger 62,4
1,7:42,Car 384 arrives at charger 67,2
1,7:43,Car 16 starts traveling,NA
1,7:43,Car 87 arrives at charger 12,2
1,7:43,Car 282 arrives at charger 52,3
1,7:43,Car 364 starts traveling,NA
1,7:43,Car 377 finish traveling,NA
1,7:43,Car 393 starts traveling,NA
1,7:43,Car 63 departs at charger 11,0
1,7:44,Car 41 arrives at charger 5,2
1,7:44,Car 357 finish traveling,NA
1,7:44,Car 385 arrives at charger 65,3
1,7:45,Car 169 starts traveling,NA
1,7:45,Car 297 starts traveling,NA
1,7:45,Car 368 starts traveling,NA
1,7:46,Car 129 starts traveling,NA
1,7:46,Car 300 finish traveling,NA
1,7:47,Car 63 finish traveling,NA
1,7:47,Car 78 arrives at charger 17,1
1,7:47,Car 82 starts traveling,NA
1,7:47,Car 110 arrives at charger 19,4
1,7:47,Car 220 starts traveling,NA
1,7:47,Car 301 starts traveling,NA
1,7:47,Car 349 arrives at charger 62,5
1,7:47,Car 359 starts traveling,NA
1,7:47,Car 276 departs at charger 51,0
1,7:48,Car 129 arrives at charger 26,1
1,7:48,Car 177 arrives at charger 38,6
1,7:48,Car 219 starts traveling,NA
1,7:48,Car 249 starts traveling,NA
1,7:48,Car 269 starts traveling,NA
1,7:48,Car 374 arrives at charger 62,6
1,7:48,Car 99 departs at charger 22,2
1,7:49,Car 19 starts traveling,NA
1,7:49,Car 108 starts traveling,NA
1,7:49,Car 347 arrives at charger 64,1
1,7:49,Car 359 arrives at charger 62,7
1,7:50,Car 99 finish traveling,NA
1,7:50,Car 276 finish traveling,NA
1,7:50,Car 369 starts traveling,NA
1,7:50,Car 393 arrives at charger 65,4
1,7:51,Car 16 arrives at charger 3,3
1,7:51,Car 91 starts traveling,NA
1,7:51,Car 145 starts traveling,NA
1,7:51,Car 169 arrives at charger 30,3
1,7:52,Car 157 arrives at charger 43,7
1,7:52,Car 220 arrives at charger 38,7
1,7:53,Car 181 arrives at charger 34,1
1,7:53,Car 292 arrives at charger 47,2
1,7:53,Car 333 starts traveling,NA
1,7:53,Car 334 starts traveling,NA
1,7:53,Car 280 departs at charger 55,1
1,7:54,Car 179 arrives at charger 31,4
1,7:54,Car 290 starts traveling,NA
1,7:54,Car 381 starts traveling,NA
1,7:54,Car 371 departs at charger 64,1
1,7:55,Car 29 starts traveling,NA
1,7:55,Car 115 starts traveling,NA
1,7:55,Car 118 starts traveling,NA
1,7:56,Car 82 arrives at charger 15,1
1,7:56,Car 104 starts traveling,NA
1,7:56,Car 368 arrives at charger 77,1
1,7:56,Car 371 finish traveling,NA
1,7:57,Car 219 arrives at charger 40,2
1,7:57,Car 269 arrives at charger 51,1
1,7:57,Car 280 finish traveling,NA
1,7:57,Car 364 arrives at charger 65,5
1,7:59,Car 19 arrives at charger 3,4
1,7:59,Car 91 arrives at charger 20,2
1,7:59,Car 119 starts traveling,NA
1,7:59,Car 286 starts traveling,NA
1,7:59,Car 333 arrives at charger 62,8
1,8:00,Car 2 starts traveling,NA
1,8:00,Car 71 starts traveling,NA
1,8:00,Car 97 starts traveling,NA
1,8:00,Car 321 starts traveling,NA
1,8:00,Car 81 departs at charger 12,2
1,8:00,Car 235 departs at charger 60,0
1,8:01,Car 3 starts traveling,NA
1,8:01,Car 42 starts traveling,NA
1,8:01,Car 79 starts traveling,NA
1,8:01,Car 104 arrives at charger 21,2
1,8:01,Car 145 arrives at charger 28,2
1,8:01,Car 249 arrives at charger 58,4
1,8:01,Car 273 starts traveling,NA
1,8:01,Car 302 departs at charger 47,2
1,8:01,Car 326 departs at charger 71,0
1,8:02,Car 88 starts traveling,NA
1,8:02,Car 94 starts traveling,NA
1,8:02,Car 113 starts traveling,NA
1,8:02,Car 297 arrives at charger 58,5
1,8:02,Car 302 finish traveling,NA
1,8:02,Car 369 arrives at charger 74,1
1,8:03,Car 108 arrives at charger 19,5
1,8:03,Car 232 departs at charger 58,5
1,8:04,Car 61 starts traveling,NA
1,8:04,Car 81 finish traveling,NA
1,8:04,Car 97 arrives at charger 24,1
1,8:04,Car 290 arrives at charger 61,2
1,8:04,Car 301 arrives at charger 55,1
1,8:04,Car 326 finish traveling,NA
1,8:05,Car 29 arrives at charger 5,3
1,8:05,Car 43 starts traveling,NA
1,8:05,Car 94 arrives at charger 26,2
1,8:05,Car 286 arrives at charger 61,3
1,8:06,Car 160 starts traveling,NA
1,8:06,Car 166 starts traveling,NA
1,8:06,Car 186 starts traveling,NA
1,8:06,Car 232 finish traveling,NA
1,8:06,Car 235 finish traveling,NA
1,8:07,Car 381 arrives at charger 67,3
1,8:08,Car 24 starts traveling,NA
1,8:08,Car 43 arrives at charger 9,3
1,8:08,Car 272 starts traveling,NA
1,8:08,Car 334 arrives at charger 74,1
1,8:09,Car 40 starts traveling,NA
1,8:09,Car 53 starts traveling,NA
1,8:09,Car 79 arrives at charger 17,1
1,8:09,Car 152 starts traveling,NA
1,8:09,Car 158 starts traveling,NA
1,8:09,Car 310 departs at charger 70,4
1,8:10,Car 115 arrives at charger 26,3
1,8:10,Car 166 arrives at charger 32,1
1,8:11,Car 88 arrives at charger 12,2
1,8:11,Car 254 starts traveling,NA
1,8:11,Car 310 finish traveling,NA
1,8:11,Car 330 starts traveling,NA
1,8:11,Car 167 departs at charger 30,3
1,8:12,Car 3 arrives at charger 1,1
1,8:12,Car 42 arrives at charger 7,3
1,8:12,Car 71 arrives at charger 17,2
1,8:12,Car 119 arrives at charger 26,4
1,8:12,Car 227 starts traveling,NA
1,8:12,Car 316 starts traveling,NA
1,8:13,Car 40 arrives at charger 7,4
1,8:13,Car 61 arrives at charger 18,1
1,8:13,Car 70 starts traveling,NA
1,8:13,Car 118 arrives at charger 22,2
1,8:13,Car 158 arrives at charger 31,5
1,8:14,Car 160 arrives at charger 36,3
1,8:14,Car 187 starts traveling,NA
1,8:14,Car 316 arrives at charger 73,4
1,8:15,Car 44 starts traveling,NA
1,8:15,Car 167 finish traveling,NA
1,8:15,Car 273 arrives at charger 58,5
1,8:16,Car 2 arrives at charger 1,1
1,8:16,Car 339 starts traveling,NA
1,8:17,Car 24 arrives at charger 5,4
1,8:17,Car 80 starts traveling,NA
1,8:17,Car 321 arrives at charger 74,2
1,8:17,Car 134 departs at charger 27,0
1,8:18,Car 53 arrives at charger 16,1
1,8:18,Car 113 arrives at charger 25,1
1,8:18,Car 134 finish traveling,NA
1,8:18,Car 187 arrives at charger 43,8
1,8:18,Car 222 starts traveling,NA
1,8:18,Car 272 arrives at charger 52,4
1,8:18,Car 397 starts traveling,NA
1,8:19,Car 7 starts traveling,NA
1,8:19,Car 186 arrives at charger 43,9
1,8:20,Car 72 starts traveling,NA
1,8:20,Car 77 starts traveling,NA
1,8:20,Car 152 arrives at charger 43,10
1,8:20,Car 175 starts traveling,NA
1,8:20,Car 22 departs at charger 5,4
1,8:20,Car 382 departs at charger 68,0
1,8:21,Car 70 arrives at charger 11,1
1,8:21,Car 227 arrives at charger 61,4
1,8:21,Car 197 departs at charger 41,0
1,8:22,Car 80 arrives at charger 18,1
1,8:22,Car 124 starts traveling,NA
1,8:22,Car 254 arrives at charger 45,1
1,8:22,Car 313 starts traveling,NA
1,8:22,Car 382 finish traveling,NA
1,8:23,Car 197 finish traveling,NA
1,8:23,Car 329 starts traveling,NA
1,8:23,Car 128 departs at charger 21,2
1,8:24,Car 72 arrives at charger 13,3
1,8:24,Car 309 starts traveling,NA
1,8:24,Car 358 starts traveling,NA
1,8:24,Car 397 arrives at charger 66,5
1,8:25,Car 173 starts traveling,NA
1,8:25,Car 309 arrives at charger 67,4
1,8:25,Car 330 arrives at charger 66,6
1,8:25,Car 339 arrives at charger 62,9
1,8:25,Car 398 starts traveling,NA
1,8:25,Car 352 departs at charger 66,6
1,8:26,Car 22 finish traveling,NA
1,8:26,Car 44 arrives at charger 5,4
1,8:26,Car 17 departs at charger 3,4
1,8:26,Car 298 departs at charger 52,4
1,8:26,Car 399 departs at charger 62,9
1,8:26,Car 17 finish traveling,NA
1,8:27,Car 21 starts traveling,NA
1,8:27,Car 218 starts traveling,NA
1,8:27,Car 222 arrives at charger 61,5
1,8:27,Car 234 starts traveling,NA
1,8:27,Car 298 finish traveling,NA
1,8:27,Car 399 finish traveling,NA
1,8:28,Car 128 finish traveling,NA
1,8:28,Car 146 starts traveling,NA
1,8:28,Car 352 finish traveling,NA
1,8:29,Car 208 starts traveling,NA
1,8:30,Car 67 starts traveling,NA
1,8:30,Car 175 arrives at charger 40,3
1,8:30,Car 289 starts traveling,NA
1,8:30,Car 295 starts traveling,NA
1,8:31,Car 77 arrives at charger 16,2
1,8:31,Car 205 starts traveling,NA
1,8:31,Car 279 starts traveling,NA
1,8:31,Car 289 arrives at charger 59,1
1,8:31,Car 295 arrives at charger 58,6
1,8:32,Car 358 arrives at charger 67,5
1,8:32,Car 398 arrives at charger 74,3
1,8:32,Car 78 departs at charger 17,2
1,8:33,Car 21 arrives at charger 5,5
1,8:33,Car 279 arrives at charger 49,1
1,8:33,Car 354 starts traveling,NA
1,8:33,Car 49 departs at charger 10,2
1,8:33,Car 123 departs at charger 22,2
1,8:34,Car 168 starts traveling,NA
1,8:34,Car 185 departs at charger 33,0
1,8:34,Car 323 departs at charger 73,4
1,8:35,Car 7 arrives at charger 2,2
1,8:35,Car 60 starts traveling,NA
1,8:35,Car 78 finish traveling,NA
1,8:35,Car 329 arrives at charger 70,4
1,8:36,Car 218 arrives at charger 37,3
1,8:36,Car 163 departs at charger 29,0
1,8:37,Car 10 starts traveling,NA
1,8:37,Car 39 starts traveling,NA
1,8:37,Car 124 arrives at charger 26,5
1,8:37,Car 173 arrives at charger 31,6
1,8:37,Car 205 arrives at charger 43,11
1,8:37,Car 234 arrives at charger 58,7
1,8:37,Car 287 starts traveling,NA
1,8:38,Car 69 starts traveling,NA
1,8:38,Car 123 finish traveling,NA
1,8:38,Car 185 finish traveling,NA
1,8:38,Car 181 departs at charger 34,0
1,8:38,Car 291 departs at charger 55,1
1,8:38,Car 343 departs at charger 63,2
1,8:39,Car 49 finish traveling,NA
1,8:39,Car 132 starts traveling,NA
1,8:39,Car 252 starts traveling,NA
1,8:39,Car 313 arrives at charger 62,9
1,8:39,Car 323 finish traveling,NA
1,8:39,Car 347 departs at charger 64,0
1,8:40,Car 146 arrives at charger 36,4
1,8:40,Car 163 finish traveling,NA
1,8:40,Car 246 starts traveling,NA
1,8:40,Car 353 departs at charger 79,0
1,8:41,Car 67 arrives at charger 12,3
1,8:41,Car 168 arrives at charger 28,3
1,8:41,Car 217 starts traveling,NA
1,8:41,Car 221 starts traveling,NA
1,8:41,Car 82 departs at charger 15,0
1,8:41,Car 107 departs at charger 20,2
1,8:41,Car 368 departs at charger 77,0
1,8:42,Car 60 arrives at charger 17,2
1,8:42,Car 69 arrives at charger 18,2
1,8:42,Car 107 finish traveling,NA
1,8:42,Car 208 arrives at charger 36,5
1,8:42,Car 261 starts traveling,NA
1,8:42,Car 296 starts traveling,NA
1,8:42,Car 347 finish traveling,NA
1,8:42,Car 353 finish traveling,NA
1,8:42,Car 269 departs at charger 51,0
1,8:43,Car 388 starts traveling,NA
1,8:44,Car 10 arrives at charger 2,3
1,8:44,Car 82 finish traveling,NA
1,8:44,Car 111 starts traveling,NA
1,8:44,Car 181 finish traveling,NA
1,8:44,Car 291 finish traveling,NA
1,8:44,Car 308 starts traveling,NA
1,8:44,Car 314 starts traveling,NA
1,8:44,Car 343 finish traveling,NA
1,8:44,Car 361 starts traveling,NA
1,8:45,Car 213 starts traveling,NA
1,8:45,Car 269 finish traveling,NA
1,8:45,Car 368 finish traveling,NA
1,8:45,Car 52 departs at charger 12,3
1,8:46,Car 131 starts traveling,NA
1,8:46,Car 287 arrives at charger 49,2
1,8:46,Car 277 departs at charger 47,1
1,8:47,Car 83 starts traveling,NA
1,8:47,Car 141 starts traveling,NA
1,8:47,Car 246 arrives at charger 50,2
1,8:47,Car 354 arrives at charger 71,1
1,8:47,Car 369 departs at charger 74,3
1,8:47,Car 395 departs at charger 78,0
1,8:48,Car 52 finish traveling,NA
1,8:48,Car 217 arrives at charger 34,1
1,8:48,Car 325 starts traveling,NA
1,8:48,Car 395 finish traveling,NA
1,8:48,Car 267 departs at charger 58,7
1,8:48,Car 328 departs at charger 75,2
