car_id,arrival_time_day_1,preference_day_1
196,9:25,[43]
197,7:20,[41]
198,6:22,[38]
199,9:52,[42]
200,9:15,[40]
201,6:57,[43]
202,9:49,[34]
203,8:53,[30]
204,6:34,[30]
205,8:31,[43]
206,6:25,[44]
207,8:50,[33]
208,8:29,[36]
209,9:33,[43]
210,6:45,[41]
211,6:16,[36]
212,9:16,[37]
213,8:45,[31]
214,7:18,[38]
215,9:41,[31]
216,9:52,[43]
217,8:41,[34]
218,8:27,[37]
219,7:48,[40]
220,7:47,[38]
221,8:41,[49]
222,8:18,[61]
223,8:59,[58]
224,9:11,[48]
225,6:54,[57]
226,9:26,[58]
227,8:12,[61]
228,9:30,[51]
229,6:44,[57]
230,6:38,[53]
231,9:32,[46]
232,7:07,[58]
233,6:19,[47]
234,8:27,[58]
235,6:54,[60]
236,6:19,[45]
237,9:58,[61]
238,8:54,[52]
239,9:51,[47]
240,9:12,[58]
241,9:57,[59]
242,9:48,[47]
243,7:24,[50]
244,8:50,[48]
245,6:38,[61]
246,8:40,[50]
247,6:19,[60]
248,9:28,[60]
249,7:48,[58]
250,8:49,[52]
251,6:47,[50]
252,8:39,[46]
253,9:31,[53]
254,8:11,[45]
255,9:00,[53]
256,7:01,[49]
257,7:04,[52]
258,9:57,[61]
259,9:59,[56]
260,6:20,[54]
261,8:42,[57]
262,8:49,[53]
263,8:55,[58]
264,9:01,[51]
265,6:54,[52]
266,8:57,[47]
267,7:08,[58]
268,7:19,[58]
269,7:48,[51]
270,7:16,[53]
271,9:18,[58]
272,8:08,[52]
273,8:01,[58]
274,9:53,[56]
275,9:07,[50]
276,6:16,[51]
277,7:22,[47]
278,6:06,[51]
279,8:31,[49]
280,6:57,[55]
281,7:36,[58]
282,7:36,[52]
283,9:32,[53]
284,9:06,[51]
285,9:42,[61]
286,7:59,[61]
287,8:37,[49]
288,9:12,[52]
289,8:30,[59]
290,7:54,[61]
291,7:10,[55]
292,7:38,[47]
293,7:27,[61]
294,7:35,[48]
295,8:30,[58]
296,8:42,[51]
297,7:45,[58]
298,7:00,[52]
299,6:20,[58]
300,6:42,[52]
301,7:47,[55]
302,6:42,[47]
303,9:53,[45]
304,6:49,[53]
305,9:12,[61]
306,7:16,[75]
307,6:42,[67]
308,8:44,[76]
309,8:24,[67]
310,6:04,[70]
311,8:59,[66]
312,6:59,[66]
313,8:22,[62]
314,8:44,[67]
315,6:55,[65]
316,8:12,[73]
317,7:10,[75]
318,9:06,[69]
319,6:43,[73]
320,7:08,[70]
321,8:00,[74]
322,6:50,[70]
323,6:20,[73]
324,6:51,[63]
325,8:48,[65]
326,7:08,[71]
327,7:33,[65]
328,6:38,[75]
329,8:23,[70]
330,8:11,[66]
331,9:37,[63]
332,9:07,[78]
333,7:53,[62]
334,7:53,[74]
335,7:09,[67]
336,8:51,[77]
337,9:32,[62]
338,9:15,[62]
339,8:16,[62]
340,9:15,[62]
341,9:30,[62]
342,7:06,[66]
343,6:22,[63]
344,9:45,[62]
345,9:50,[80]
346,8:51,[79]
347,7:41,[64]
348,6:15,[76]
349,7:40,[62]
350,7:17,[69]
351,7:24,[63]
352,6:14,[66]
353,6:35,[79]
354,8:33,[71]
355,6:43,[73]
356,8:57,[63]
357,6:04,[66]
358,8:24,[67]
359,7:47,[62]
360,7:25,[66]
361,8:44,[70]
362,6:32,[62]
363,6:03,[74]
364,7:43,[65]
365,9:06,[79]
366,8:51,[71]
367,6:44,[62]
368,7:45,[77]
369,7:50,[74]
370,9:24,[62]
371,7:03,[64]
372,9:22,[67]
373,9:15,[73]
374,7:39,[62]
375,7:32,[62]
376,9:14,[66]
377,6:16,[74]
378,7:10,[70]
379,6:48,[62]
380,6:53,[73]
381,7:54,[67]
382,7:29,[68]
383,9:55,[68]
384,7:40,[67]
385,7:34,[65]
386,7:20,[66]
387,9:11,[66]
388,8:43,[80]
389,6:07,[66]
390,8:54,[75]
391,7:12,[65]
392,8:56,[77]
393,7:43,[65]
394,6:31,[70]
395,6:44,[78]
396,9:53,[78]
397,8:18,[66]
398,8:25,[74]
399,6:24,[62]
400,9:51,[74]
